job_title,skill,demand
Azure Data Engineer or Big data developer,Spark,2
Azure Data Engineer | F2F Interview !!,Azure,1
Azure Data Engineer | F2F Interview | Hyderabad/ Bangalore/Mumbai!!,Azure,1
"Azure Data Engineer, ADF, Databricks & Synapse",Azure,1
"Azure Data Engineer, Databricks",Azure,1
"Azure Data Engineer, Pan India",Azure,1
"Azure Data Engineer, Pan India",SQL,1
Azure Data Engineer- MS Fabric,Azure,1
Azure Data Engineer- MS Fabric -- US MNC (analytics),Azure,1
Azure Data Engineer-11 Jun(Thurs)- Virtual Interview - Bengaluru - 8+,Azure,1
Azure Data Engineer-Fabric,Azure,1
Azure Data Engineers_7-10 years_Chennai/India,Azure,1
Azure Data Factory,Azure,1
Azure Data Factory Developer,Azure,1
Azure Data Factory Engineer,Azure,1
Azure Data Factory Engineer,SQL,1
Azure Data Integration Engineer,Azure,1
Azure Data Lake Engineer,Azure,1
Azure Data Lead / Architect ( Fabric ),Azure,1
Azure Data Modeler,Azure,1
Azure Data Modeler,SQL,1
Azure Data Platform Engineer,Azure,1
Azure Data Platform Lead,Azure,1
Azure Data Platform Lead,SQL,1
Azure Data Scientist (AI & ML),Azure,1
Azure Data Solutions Architect,Azure,1
Azure Data engineer,Azure,1
Azure Data engineer - 2170,Azure,1
Azure Data engineer-Fabric,Azure,1
Azure DataBricks - Data Engineering,Azure,5
Azure DataBricks - Data Engineering,Python,5
